No;Province;Year;Stunting Prevalence;Poverty;Exclusive Breastfeeding;LBW;High School Completion;Proper Sanitation Access;Unmet need;GDP;Calory Consumption;Protein Consumption
152;NORTH KALIMANTAN;2023;8.9;6.45;77.81;;59.5;;5.97;201749;1891.275681;62.11476575
153;BANGKA BELITUNG ISLANDS;2023;3.2;4.52;63.3;;68.96;;4.87;67885;2058.608654;66.38366343
154;RIAU ISLANDS;2023;3.8;5.69;62.88;;78.97;;4.33;154179;2047.785525;66.50367371
155;LAMPUNG;2023;3.9;11.11;76.2;;64.54;;5.51;48194;2096.207777;60.13352995
156;MALUKU;2023;5.2;16.42;61.52;;75.01;;6.51;30456;1819.573011;52.85678462
157;NORTH MALUKU;2023;6.8;6.46;69.66;;64.61;;4.79;63677;1822.797323;52.70330918
158;WEST NUSA TENGGARA;2023;15.8;13.85;82.45;;63.66;;9.04;29926;2484.917499;76.11993844
159;EAST NUSA TENGGARA;2023;17.4;19.96;78.74;;43.46;;7.5;23078;1938.175063;54.5389947
160;PAPUA;2023;10.9;26.03;55.41;;39.5;;2.66;78061;1902.717767;46.79963373
161;WEST PAPUA;2023;10.9;20.49;62.92;;59.99;;2.97;108101;1859.620337;54.62047695
162;RIAU;2023;3;6.68;71.14;;67.79;;5.29;154522;2048.039214;59.97037789
163;WEST SULAWESI;2023;23.2;11.49;75.04;;54.79;;6.79;39533;2099.734156;59.94345974
164;SOUTH SULAWESI;2023;8.2;8.7;77.2;;67.41;;4.92;69702;2110.282567;64.14331398
165;CENTRAL SULAWESI;2023;11.3;12.41;66.7;;55.69;;6.28;112461;2055.419622;59.04109326
166;SOUTHEAST SULAWESI;2023;10.3;11.43;62.99;;68.28;;6.83;64088;2019.29156;61.37272423
167;NORTH SULAWESI;2023;2.4;7.38;64.4;;67.57;;5.38;64131;2104.758861;65.22398083
168;WEST SUMATERA;2023;8.8;5.95;75.84;;68.64;;4.67;54327;2086.062078;58.68163434
169;SOUTH SUMATERA;2023;1.8;11.78;75.59;;64.81;;4.53;71950;2191.05658;65.10286093
170;NORTH SUMATERA;2023;4.5;8.15;61.98;;74.43;;5.15;68306;2093.66786;62.90650205
